unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount
1.59123E+12,2020/6/4 0:00,BNB/USDT,17.573,17.658,17.05,17.526,925519.02,16152792.99,77067
1.59114E+12,2020/6/3 0:00,BNB/USDT,17.282,17.621,16.962,17.573,870634.86,15094099.49,77742
1.59106E+12,2020/6/2 0:00,BNB/USDT,17.968,18.228,16.556,17.274,1588636.39,27995999.89,95276
1.59097E+12,2020/6/1 0:00,BNB/USDT,17.098,18.173,16.983,17.956,1316915.19,23044951.96,99770
1.59088E+12,2020/5/31 0:00,BNB/USDT,17.738,18.203,16.854,17.089,1550100.17,27265292.77,114615
1.5908E+12,2020/5/30 0:00,BNB/USDT,17.01,17.8,16.937,17.737,1149486.18,19992151.48,79467
1.59071E+12,2020/5/29 0:00,BNB/USDT,17.09,17.208,16.642,17.016,956578.12,16238398.61,80318
1.59062E+12,2020/5/28 0:00,BNB/USDT,16.481,17.16,16.413,17.092,754792.47,12623258.45,66965
1.59054E+12,2020/5/27 0:00,BNB/USDT,16.214,16.517,16.162,16.481,715038.99,11702867,69645
1.59045E+12,2020/5/26 0:00,BNB/USDT,16.385,16.503,15.972,16.219,861433.7,14012882.66,90601
1.59036E+12,2020/5/25 0:00,BNB/USDT,15.943,16.426,15.789,16.385,1036864.54,16816518.8,106691
1.59028E+12,2020/5/24 0:00,BNB/USDT,16.489,16.803,15.929,15.952,833129.55,13724833.75,75561
1.59019E+12,2020/5/23 0:00,BNB/USDT,16.606,16.866,16.345,16.49,660987.44,10962711.52,63366
1.59011E+12,2020/5/22 0:00,BNB/USDT,16.092,16.924,15.935,16.606,1110318.45,18280802.57,85602
1.59002E+12,2020/5/21 0:00,BNB/USDT,16.891,17.064,15.732,16.097,1410902.92,23113050.38,105177
